model,k,param,train,cv
LogReg,4,C=0.1,0.744,0.718
LogReg,4,C=1,0.718,0.668
LogReg,4,C=10,0.718,0.639
MLP,4,"h=(4,),relu",0.795,0.743
MLP,4,"h=(4,),tanh",1.0,0.746
MLP,4,"h=(4, 2),relu",0.795,0.718
MLP,4,"h=(4, 2),tanh",0.974,0.646
SVM,4,"C=1,linear",0.744,0.693
SVM,4,"C=1,rbf",0.744,0.643
SVM,4,"C=10,linear",0.744,0.664
SVM,4,"C=10,rbf",0.897,0.668
DT,4,"d=3,leaf=1",0.897,0.536
DT,4,"d=3,leaf=3",0.846,0.611
DT,4,"d=3,leaf=9",0.744,0.646
DT,4,"d=5,leaf=1",1.0,0.689
DT,4,"d=5,leaf=3",0.897,0.639
DT,4,"d=5,leaf=9",0.744,0.646
DT,4,"d=None,leaf=1",1.0,0.689
DT,4,"d=None,leaf=3",0.897,0.639
DT,4,"d=None,leaf=9",0.744,0.646
RF,4,"n=10,d=3,leaf=1",0.897,0.671
RF,4,"n=10,d=3,leaf=3",0.897,0.721
RF,4,"n=10,d=3,leaf=9",0.744,0.693
RF,4,"n=10,d=5,leaf=1",0.974,0.643
RF,4,"n=10,d=5,leaf=3",0.872,0.668
RF,4,"n=10,d=5,leaf=9",0.821,0.618
RF,4,"n=10,d=None,leaf=1",0.974,0.668
RF,4,"n=10,d=None,leaf=3",0.897,0.675
RF,4,"n=10,d=None,leaf=9",0.821,0.725
RF,4,"n=50,d=3,leaf=1",0.897,0.646
RF,4,"n=50,d=3,leaf=3",0.872,0.668
RF,4,"n=50,d=3,leaf=9",0.821,0.718
RF,4,"n=50,d=5,leaf=1",0.974,0.668
RF,4,"n=50,d=5,leaf=3",0.897,0.696
RF,4,"n=50,d=5,leaf=9",0.821,0.7
RF,4,"n=50,d=None,leaf=1",1.0,0.618
RF,4,"n=50,d=None,leaf=3",0.872,0.668
RF,4,"n=50,d=None,leaf=9",0.795,0.671
RF,4,"n=100,d=3,leaf=1",0.923,0.643
RF,4,"n=100,d=3,leaf=3",0.872,0.696
RF,4,"n=100,d=3,leaf=9",0.846,0.75
RF,4,"n=100,d=5,leaf=1",1.0,0.618
RF,4,"n=100,d=5,leaf=3",0.872,0.668
RF,4,"n=100,d=5,leaf=9",0.846,0.75
RF,4,"n=100,d=None,leaf=1",1.0,0.646
RF,4,"n=100,d=None,leaf=3",0.897,0.668
RF,4,"n=100,d=None,leaf=9",0.846,0.75
XGB,4,"n=10,d=3,lr=0.05",0.667,0.668
XGB,4,"n=10,d=3,lr=0.1",0.897,0.7
XGB,4,"n=10,d=6,lr=0.05",0.667,0.668
XGB,4,"n=10,d=6,lr=0.1",0.897,0.7
XGB,4,"n=50,d=3,lr=0.05",0.949,0.639
XGB,4,"n=50,d=3,lr=0.1",0.923,0.718
XGB,4,"n=50,d=6,lr=0.05",0.949,0.639
XGB,4,"n=50,d=6,lr=0.1",0.923,0.718
XGB,4,"n=100,d=3,lr=0.05",0.923,0.718
XGB,4,"n=100,d=3,lr=0.1",0.949,0.718
XGB,4,"n=100,d=6,lr=0.05",0.923,0.718
XGB,4,"n=100,d=6,lr=0.1",0.949,0.718
CatBoost,4,"n=10,d=3,lr=0.05",0.846,0.693
CatBoost,4,"n=10,d=3,lr=0.1",0.846,0.668
CatBoost,4,"n=10,d=6,lr=0.05",0.846,0.668
CatBoost,4,"n=10,d=6,lr=0.1",0.846,0.693
CatBoost,4,"n=50,d=3,lr=0.05",0.821,0.725
CatBoost,4,"n=50,d=3,lr=0.1",0.897,0.668
CatBoost,4,"n=50,d=6,lr=0.05",0.872,0.668
CatBoost,4,"n=50,d=6,lr=0.1",0.949,0.693
CatBoost,4,"n=100,d=3,lr=0.05",0.872,0.668
CatBoost,4,"n=100,d=3,lr=0.1",0.923,0.664
CatBoost,4,"n=100,d=6,lr=0.05",0.949,0.664
CatBoost,4,"n=100,d=6,lr=0.1",1.0,0.714
LogReg,5,C=0.1,0.692,0.668
LogReg,5,C=1,0.718,0.668
LogReg,5,C=10,0.769,0.721
MLP,5,"h=(5,),relu",0.846,0.771
MLP,5,"h=(5,),tanh",1.0,0.589
MLP,5,"h=(5, 2),relu",0.923,0.696
MLP,5,"h=(5, 2),tanh",1.0,0.7
SVM,5,"C=1,linear",0.744,0.693
SVM,5,"C=1,rbf",0.744,0.668
SVM,5,"C=10,linear",0.718,0.664
SVM,5,"C=10,rbf",0.846,0.693
DT,5,"d=3,leaf=1",0.872,0.611
DT,5,"d=3,leaf=3",0.872,0.611
DT,5,"d=3,leaf=9",0.744,0.646
DT,5,"d=5,leaf=1",0.974,0.639
DT,5,"d=5,leaf=3",0.897,0.664
DT,5,"d=5,leaf=9",0.744,0.646
DT,5,"d=None,leaf=1",1.0,0.714
DT,5,"d=None,leaf=3",0.897,0.614
DT,5,"d=None,leaf=9",0.744,0.646
RF,5,"n=10,d=3,leaf=1",0.897,0.668
RF,5,"n=10,d=3,leaf=3",0.872,0.643
RF,5,"n=10,d=3,leaf=9",0.718,0.721
RF,5,"n=10,d=5,leaf=1",1.0,0.668
RF,5,"n=10,d=5,leaf=3",0.872,0.721
RF,5,"n=10,d=5,leaf=9",0.795,0.775
RF,5,"n=10,d=None,leaf=1",0.974,0.643
RF,5,"n=10,d=None,leaf=3",0.872,0.7
RF,5,"n=10,d=None,leaf=9",0.769,0.618
RF,5,"n=50,d=3,leaf=1",0.897,0.718
RF,5,"n=50,d=3,leaf=3",0.872,0.721
RF,5,"n=50,d=3,leaf=9",0.846,0.668
RF,5,"n=50,d=5,leaf=1",1.0,0.696
RF,5,"n=50,d=5,leaf=3",0.872,0.668
RF,5,"n=50,d=5,leaf=9",0.795,0.646
RF,5,"n=50,d=None,leaf=1",1.0,0.671
RF,5,"n=50,d=None,leaf=3",0.897,0.725
RF,5,"n=50,d=None,leaf=9",0.795,0.668
RF,5,"n=100,d=3,leaf=1",0.897,0.693
RF,5,"n=100,d=3,leaf=3",0.872,0.671
RF,5,"n=100,d=3,leaf=9",0.846,0.668
RF,5,"n=100,d=5,leaf=1",1.0,0.696
RF,5,"n=100,d=5,leaf=3",0.872,0.668
RF,5,"n=100,d=5,leaf=9",0.821,0.618
RF,5,"n=100,d=None,leaf=1",1.0,0.621
RF,5,"n=100,d=None,leaf=3",0.897,0.668
RF,5,"n=100,d=None,leaf=9",0.821,0.668
XGB,5,"n=10,d=3,lr=0.05",0.667,0.668
XGB,5,"n=10,d=3,lr=0.1",0.872,0.7
XGB,5,"n=10,d=6,lr=0.05",0.667,0.668
XGB,5,"n=10,d=6,lr=0.1",0.872,0.7
XGB,5,"n=50,d=3,lr=0.05",0.923,0.618
XGB,5,"n=50,d=3,lr=0.1",0.949,0.668
XGB,5,"n=50,d=6,lr=0.05",0.923,0.646
XGB,5,"n=50,d=6,lr=0.1",0.949,0.696
XGB,5,"n=100,d=3,lr=0.05",0.949,0.668
XGB,5,"n=100,d=3,lr=0.1",0.949,0.668
XGB,5,"n=100,d=6,lr=0.05",0.949,0.668
XGB,5,"n=100,d=6,lr=0.1",0.949,0.668
CatBoost,5,"n=10,d=3,lr=0.05",0.769,0.668
CatBoost,5,"n=10,d=3,lr=0.1",0.769,0.668
CatBoost,5,"n=10,d=6,lr=0.05",0.872,0.696
CatBoost,5,"n=10,d=6,lr=0.1",0.872,0.696
CatBoost,5,"n=50,d=3,lr=0.05",0.872,0.75
CatBoost,5,"n=50,d=3,lr=0.1",0.897,0.725
CatBoost,5,"n=50,d=6,lr=0.05",0.897,0.725
CatBoost,5,"n=50,d=6,lr=0.1",0.949,0.668
CatBoost,5,"n=100,d=3,lr=0.05",0.897,0.693
CatBoost,5,"n=100,d=3,lr=0.1",0.923,0.668
CatBoost,5,"n=100,d=6,lr=0.05",0.949,0.693
CatBoost,5,"n=100,d=6,lr=0.1",1.0,0.643
LogReg,6,C=0.1,0.692,0.668
LogReg,6,C=1,0.718,0.668
LogReg,6,C=10,0.744,0.664
MLP,6,"h=(6,),relu",0.897,0.664
MLP,6,"h=(6,),tanh",1.0,0.639
MLP,6,"h=(6, 3),relu",0.897,0.671
MLP,6,"h=(6, 3),tanh",1.0,0.718
SVM,6,"C=1,linear",0.744,0.693
SVM,6,"C=1,rbf",0.769,0.618
SVM,6,"C=10,linear",0.769,0.639
SVM,6,"C=10,rbf",0.872,0.693
DT,6,"d=3,leaf=1",0.872,0.586
DT,6,"d=3,leaf=3",0.872,0.611
DT,6,"d=3,leaf=9",0.744,0.646
DT,6,"d=5,leaf=1",0.974,0.614
DT,6,"d=5,leaf=3",0.897,0.664
DT,6,"d=5,leaf=9",0.744,0.621
DT,6,"d=None,leaf=1",1.0,0.614
DT,6,"d=None,leaf=3",0.897,0.614
DT,6,"d=None,leaf=9",0.744,0.621
RF,6,"n=10,d=3,leaf=1",0.897,0.696
RF,6,"n=10,d=3,leaf=3",0.795,0.671
RF,6,"n=10,d=3,leaf=9",0.718,0.675
RF,6,"n=10,d=5,leaf=1",0.974,0.725
RF,6,"n=10,d=5,leaf=3",0.872,0.593
RF,6,"n=10,d=5,leaf=9",0.769,0.7
RF,6,"n=10,d=None,leaf=1",1.0,0.671
RF,6,"n=10,d=None,leaf=3",0.821,0.664
RF,6,"n=10,d=None,leaf=9",0.846,0.668
RF,6,"n=50,d=3,leaf=1",0.923,0.646
RF,6,"n=50,d=3,leaf=3",0.872,0.696
RF,6,"n=50,d=3,leaf=9",0.846,0.643
RF,6,"n=50,d=5,leaf=1",1.0,0.646
RF,6,"n=50,d=5,leaf=3",0.897,0.721
RF,6,"n=50,d=5,leaf=9",0.821,0.668
RF,6,"n=50,d=None,leaf=1",1.0,0.621
RF,6,"n=50,d=None,leaf=3",0.872,0.671
RF,6,"n=50,d=None,leaf=9",0.821,0.668
RF,6,"n=100,d=3,leaf=1",0.923,0.7
RF,6,"n=100,d=3,leaf=3",0.872,0.696
RF,6,"n=100,d=3,leaf=9",0.821,0.646
RF,6,"n=100,d=5,leaf=1",1.0,0.621
RF,6,"n=100,d=5,leaf=3",0.897,0.721
RF,6,"n=100,d=5,leaf=9",0.821,0.693
RF,6,"n=100,d=None,leaf=1",1.0,0.7
RF,6,"n=100,d=None,leaf=3",0.897,0.725
RF,6,"n=100,d=None,leaf=9",0.769,0.746
XGB,6,"n=10,d=3,lr=0.05",0.667,0.668
XGB,6,"n=10,d=3,lr=0.1",0.872,0.7
XGB,6,"n=10,d=6,lr=0.05",0.667,0.668
XGB,6,"n=10,d=6,lr=0.1",0.872,0.7
XGB,6,"n=50,d=3,lr=0.05",0.923,0.618
XGB,6,"n=50,d=3,lr=0.1",0.949,0.668
XGB,6,"n=50,d=6,lr=0.05",0.923,0.646
XGB,6,"n=50,d=6,lr=0.1",0.949,0.696
XGB,6,"n=100,d=3,lr=0.05",0.949,0.668
XGB,6,"n=100,d=3,lr=0.1",0.949,0.668
XGB,6,"n=100,d=6,lr=0.05",0.949,0.668
XGB,6,"n=100,d=6,lr=0.1",0.949,0.668
CatBoost,6,"n=10,d=3,lr=0.05",0.821,0.725
CatBoost,6,"n=10,d=3,lr=0.1",0.821,0.696
CatBoost,6,"n=10,d=6,lr=0.05",0.872,0.721
CatBoost,6,"n=10,d=6,lr=0.1",0.872,0.721
CatBoost,6,"n=50,d=3,lr=0.05",0.846,0.696
CatBoost,6,"n=50,d=3,lr=0.1",0.897,0.693
CatBoost,6,"n=50,d=6,lr=0.05",0.897,0.75
CatBoost,6,"n=50,d=6,lr=0.1",0.949,0.721
CatBoost,6,"n=100,d=3,lr=0.05",0.897,0.696
CatBoost,6,"n=100,d=3,lr=0.1",0.923,0.718
CatBoost,6,"n=100,d=6,lr=0.05",0.949,0.696
CatBoost,6,"n=100,d=6,lr=0.1",1.0,0.618
LogReg,7,C=0.1,0.718,0.668
LogReg,7,C=1,0.718,0.668
LogReg,7,C=10,0.769,0.664
MLP,7,"h=(7,),relu",1.0,0.668
MLP,7,"h=(7,),tanh",0.949,0.611
MLP,7,"h=(7, 3),relu",0.846,0.614
MLP,7,"h=(7, 3),tanh",1.0,0.582
SVM,7,"C=1,linear",0.769,0.693
SVM,7,"C=1,rbf",0.769,0.618
SVM,7,"C=10,linear",0.795,0.661
SVM,7,"C=10,rbf",0.872,0.693
DT,7,"d=3,leaf=1",0.872,0.636
DT,7,"d=3,leaf=3",0.846,0.636
DT,7,"d=3,leaf=9",0.769,0.646
DT,7,"d=5,leaf=1",1.0,0.614
DT,7,"d=5,leaf=3",0.923,0.664
DT,7,"d=5,leaf=9",0.769,0.646
DT,7,"d=None,leaf=1",1.0,0.664
DT,7,"d=None,leaf=3",0.923,0.614
DT,7,"d=None,leaf=9",0.769,0.621
RF,7,"n=10,d=3,leaf=1",0.897,0.746
RF,7,"n=10,d=3,leaf=3",0.846,0.771
RF,7,"n=10,d=3,leaf=9",0.718,0.671
RF,7,"n=10,d=5,leaf=1",0.974,0.646
RF,7,"n=10,d=5,leaf=3",0.897,0.646
RF,7,"n=10,d=5,leaf=9",0.795,0.693
RF,7,"n=10,d=None,leaf=1",0.974,0.646
RF,7,"n=10,d=None,leaf=3",0.846,0.725
RF,7,"n=10,d=None,leaf=9",0.846,0.668
RF,7,"n=50,d=3,leaf=1",0.923,0.725
RF,7,"n=50,d=3,leaf=3",0.872,0.725
RF,7,"n=50,d=3,leaf=9",0.769,0.668
RF,7,"n=50,d=5,leaf=1",1.0,0.671
RF,7,"n=50,d=5,leaf=3",0.872,0.725
RF,7,"n=50,d=5,leaf=9",0.821,0.725
RF,7,"n=50,d=None,leaf=1",1.0,0.7
RF,7,"n=50,d=None,leaf=3",0.897,0.671
RF,7,"n=50,d=None,leaf=9",0.821,0.618
RF,7,"n=100,d=3,leaf=1",0.897,0.725
RF,7,"n=100,d=3,leaf=3",0.897,0.725
RF,7,"n=100,d=3,leaf=9",0.795,0.7
RF,7,"n=100,d=5,leaf=1",1.0,0.675
RF,7,"n=100,d=5,leaf=3",0.846,0.696
RF,7,"n=100,d=5,leaf=9",0.795,0.725
RF,7,"n=100,d=None,leaf=1",1.0,0.675
RF,7,"n=100,d=None,leaf=3",0.897,0.725
RF,7,"n=100,d=None,leaf=9",0.795,0.7
XGB,7,"n=10,d=3,lr=0.05",0.667,0.668
XGB,7,"n=10,d=3,lr=0.1",0.897,0.7
XGB,7,"n=10,d=6,lr=0.05",0.667,0.668
XGB,7,"n=10,d=6,lr=0.1",0.872,0.7
XGB,7,"n=50,d=3,lr=0.05",0.923,0.614
XGB,7,"n=50,d=3,lr=0.1",0.949,0.725
XGB,7,"n=50,d=6,lr=0.05",0.923,0.7
XGB,7,"n=50,d=6,lr=0.1",0.949,0.668
XGB,7,"n=100,d=3,lr=0.05",0.949,0.668
XGB,7,"n=100,d=3,lr=0.1",0.949,0.693
XGB,7,"n=100,d=6,lr=0.05",0.949,0.668
XGB,7,"n=100,d=6,lr=0.1",0.949,0.693
CatBoost,7,"n=10,d=3,lr=0.05",0.846,0.725
CatBoost,7,"n=10,d=3,lr=0.1",0.846,0.725
CatBoost,7,"n=10,d=6,lr=0.05",0.846,0.75
CatBoost,7,"n=10,d=6,lr=0.1",0.872,0.75
CatBoost,7,"n=50,d=3,lr=0.05",0.846,0.725
CatBoost,7,"n=50,d=3,lr=0.1",0.872,0.725
CatBoost,7,"n=50,d=6,lr=0.05",0.897,0.725
CatBoost,7,"n=50,d=6,lr=0.1",0.923,0.671
CatBoost,7,"n=100,d=3,lr=0.05",0.846,0.75
CatBoost,7,"n=100,d=3,lr=0.1",0.923,0.643
CatBoost,7,"n=100,d=6,lr=0.05",0.974,0.7
CatBoost,7,"n=100,d=6,lr=0.1",1.0,0.643
LogReg,8,C=0.1,0.718,0.668
LogReg,8,C=1,0.744,0.696
LogReg,8,C=10,0.821,0.686
MLP,8,"h=(8,),relu",1.0,0.743
MLP,8,"h=(8,),tanh",1.0,0.718
MLP,8,"h=(8, 4),relu",0.949,0.693
MLP,8,"h=(8, 4),tanh",1.0,0.611
SVM,8,"C=1,linear",0.769,0.693
SVM,8,"C=1,rbf",0.821,0.643
SVM,8,"C=10,linear",0.795,0.611
SVM,8,"C=10,rbf",0.897,0.664
DT,8,"d=3,leaf=1",0.949,0.718
DT,8,"d=3,leaf=3",0.872,0.696
DT,8,"d=3,leaf=9",0.821,0.671
DT,8,"d=5,leaf=1",1.0,0.746
DT,8,"d=5,leaf=3",0.897,0.746
DT,8,"d=5,leaf=9",0.821,0.671
DT,8,"d=None,leaf=1",1.0,0.771
DT,8,"d=None,leaf=3",0.897,0.696
DT,8,"d=None,leaf=9",0.821,0.671
RF,8,"n=10,d=3,leaf=1",0.923,0.746
RF,8,"n=10,d=3,leaf=3",0.872,0.675
RF,8,"n=10,d=3,leaf=9",0.769,0.671
RF,8,"n=10,d=5,leaf=1",0.974,0.796
RF,8,"n=10,d=5,leaf=3",0.923,0.721
RF,8,"n=10,d=5,leaf=9",0.769,0.643
RF,8,"n=10,d=None,leaf=1",0.949,0.8
RF,8,"n=10,d=None,leaf=3",0.821,0.775
RF,8,"n=10,d=None,leaf=9",0.692,0.721
RF,8,"n=50,d=3,leaf=1",0.923,0.775
RF,8,"n=50,d=3,leaf=3",0.923,0.693
RF,8,"n=50,d=3,leaf=9",0.795,0.75
RF,8,"n=50,d=5,leaf=1",1.0,0.725
RF,8,"n=50,d=5,leaf=3",0.897,0.75
RF,8,"n=50,d=5,leaf=9",0.769,0.693
RF,8,"n=50,d=None,leaf=1",1.0,0.725
RF,8,"n=50,d=None,leaf=3",0.923,0.721
RF,8,"n=50,d=None,leaf=9",0.821,0.725
RF,8,"n=100,d=3,leaf=1",0.949,0.75
RF,8,"n=100,d=3,leaf=3",0.949,0.725
RF,8,"n=100,d=3,leaf=9",0.769,0.75
RF,8,"n=100,d=5,leaf=1",1.0,0.725
RF,8,"n=100,d=5,leaf=3",0.923,0.775
RF,8,"n=100,d=5,leaf=9",0.821,0.725
RF,8,"n=100,d=None,leaf=1",1.0,0.721
RF,8,"n=100,d=None,leaf=3",0.923,0.75
RF,8,"n=100,d=None,leaf=9",0.795,0.7
XGB,8,"n=10,d=3,lr=0.05",0.667,0.668
XGB,8,"n=10,d=3,lr=0.1",0.897,0.614
XGB,8,"n=10,d=6,lr=0.05",0.667,0.668
XGB,8,"n=10,d=6,lr=0.1",0.949,0.614
XGB,8,"n=50,d=3,lr=0.05",0.949,0.693
XGB,8,"n=50,d=3,lr=0.1",0.949,0.664
XGB,8,"n=50,d=6,lr=0.05",0.949,0.664
XGB,8,"n=50,d=6,lr=0.1",0.949,0.664
XGB,8,"n=100,d=3,lr=0.05",0.923,0.689
XGB,8,"n=100,d=3,lr=0.1",0.949,0.689
XGB,8,"n=100,d=6,lr=0.05",0.974,0.689
XGB,8,"n=100,d=6,lr=0.1",0.949,0.689
CatBoost,8,"n=10,d=3,lr=0.05",0.846,0.775
CatBoost,8,"n=10,d=3,lr=0.1",0.795,0.775
CatBoost,8,"n=10,d=6,lr=0.05",0.897,0.725
CatBoost,8,"n=10,d=6,lr=0.1",0.897,0.725
CatBoost,8,"n=50,d=3,lr=0.05",0.897,0.775
CatBoost,8,"n=50,d=3,lr=0.1",0.949,0.75
CatBoost,8,"n=50,d=6,lr=0.05",0.897,0.75
CatBoost,8,"n=50,d=6,lr=0.1",0.949,0.75
CatBoost,8,"n=100,d=3,lr=0.05",0.949,0.75
CatBoost,8,"n=100,d=3,lr=0.1",0.949,0.775
CatBoost,8,"n=100,d=6,lr=0.05",0.974,0.775
CatBoost,8,"n=100,d=6,lr=0.1",1.0,0.75
LogReg,9,C=0.1,0.718,0.668
LogReg,9,C=1,0.821,0.693
LogReg,9,C=10,0.872,0.714
MLP,9,"h=(9,),relu",1.0,0.764
MLP,9,"h=(9,),tanh",1.0,0.718
MLP,9,"h=(9, 4),relu",0.872,0.664
MLP,9,"h=(9, 4),tanh",1.0,0.739
SVM,9,"C=1,linear",0.744,0.689
SVM,9,"C=1,rbf",0.846,0.668
SVM,9,"C=10,linear",0.872,0.714
SVM,9,"C=10,rbf",0.949,0.743
DT,9,"d=3,leaf=1",0.949,0.718
DT,9,"d=3,leaf=3",0.872,0.7
DT,9,"d=3,leaf=9",0.821,0.7
DT,9,"d=5,leaf=1",1.0,0.771
DT,9,"d=5,leaf=3",0.897,0.696
DT,9,"d=5,leaf=9",0.821,0.7
DT,9,"d=None,leaf=1",1.0,0.743
DT,9,"d=None,leaf=3",0.897,0.721
DT,9,"d=None,leaf=9",0.821,0.557
RF,9,"n=10,d=3,leaf=1",0.872,0.746
RF,9,"n=10,d=3,leaf=3",0.897,0.696
RF,9,"n=10,d=3,leaf=9",0.769,0.671
RF,9,"n=10,d=5,leaf=1",1.0,0.618
RF,9,"n=10,d=5,leaf=3",0.821,0.721
RF,9,"n=10,d=5,leaf=9",0.744,0.693
RF,9,"n=10,d=None,leaf=1",0.974,0.789
RF,9,"n=10,d=None,leaf=3",0.923,0.775
RF,9,"n=10,d=None,leaf=9",0.795,0.768
RF,9,"n=50,d=3,leaf=1",0.974,0.775
RF,9,"n=50,d=3,leaf=3",0.923,0.718
RF,9,"n=50,d=3,leaf=9",0.821,0.7
RF,9,"n=50,d=5,leaf=1",1.0,0.75
RF,9,"n=50,d=5,leaf=3",0.923,0.75
RF,9,"n=50,d=5,leaf=9",0.846,0.725
RF,9,"n=50,d=None,leaf=1",1.0,0.75
RF,9,"n=50,d=None,leaf=3",0.949,0.746
RF,9,"n=50,d=None,leaf=9",0.795,0.775
RF,9,"n=100,d=3,leaf=1",0.949,0.775
RF,9,"n=100,d=3,leaf=3",0.897,0.775
RF,9,"n=100,d=3,leaf=9",0.821,0.75
RF,9,"n=100,d=5,leaf=1",1.0,0.8
RF,9,"n=100,d=5,leaf=3",0.923,0.775
RF,9,"n=100,d=5,leaf=9",0.821,0.75
RF,9,"n=100,d=None,leaf=1",1.0,0.775
RF,9,"n=100,d=None,leaf=3",0.897,0.775
RF,9,"n=100,d=None,leaf=9",0.795,0.775
XGB,9,"n=10,d=3,lr=0.05",0.667,0.668
XGB,9,"n=10,d=3,lr=0.1",0.897,0.693
XGB,9,"n=10,d=6,lr=0.05",0.667,0.668
XGB,9,"n=10,d=6,lr=0.1",0.923,0.693
XGB,9,"n=50,d=3,lr=0.05",0.897,0.743
XGB,9,"n=50,d=3,lr=0.1",0.949,0.743
XGB,9,"n=50,d=6,lr=0.05",0.923,0.743
XGB,9,"n=50,d=6,lr=0.1",0.949,0.743
XGB,9,"n=100,d=3,lr=0.05",0.949,0.743
XGB,9,"n=100,d=3,lr=0.1",0.949,0.718
XGB,9,"n=100,d=6,lr=0.05",0.949,0.743
XGB,9,"n=100,d=6,lr=0.1",0.949,0.718
CatBoost,9,"n=10,d=3,lr=0.05",0.795,0.718
CatBoost,9,"n=10,d=3,lr=0.1",0.795,0.718
CatBoost,9,"n=10,d=6,lr=0.05",0.923,0.696
CatBoost,9,"n=10,d=6,lr=0.1",0.923,0.696
CatBoost,9,"n=50,d=3,lr=0.05",0.872,0.746
CatBoost,9,"n=50,d=3,lr=0.1",0.923,0.746
CatBoost,9,"n=50,d=6,lr=0.05",0.923,0.721
CatBoost,9,"n=50,d=6,lr=0.1",1.0,0.8
CatBoost,9,"n=100,d=3,lr=0.05",0.949,0.746
CatBoost,9,"n=100,d=3,lr=0.1",0.974,0.746
CatBoost,9,"n=100,d=6,lr=0.05",1.0,0.825
CatBoost,9,"n=100,d=6,lr=0.1",1.0,0.821
LogReg,10,C=0.1,0.795,0.721
LogReg,10,C=1,0.872,0.793
LogReg,10,C=10,0.872,0.686
MLP,10,"h=(10,),relu",1.0,0.793
MLP,10,"h=(10,),tanh",1.0,0.739
MLP,10,"h=(10, 5),relu",1.0,0.768
MLP,10,"h=(10, 5),tanh",1.0,0.796
SVM,10,"C=1,linear",0.846,0.689
SVM,10,"C=1,rbf",0.846,0.746
